time,error, trail_pos, steering, trail_time
0.000000,-0.1151,-0.2301,0.0000,4.5200,
0.000000,-0.1106,-0.2212,0.0000,4.5400,
0.000000,-0.1061,-0.2123,0.0000,4.5600,
0.000000,-0.1017,-0.2033,0.0000,4.5800,
0.000000,-0.0972,-0.1944,0.0000,4.6000,
0.000000,-0.0927,-0.1855,0.0000,4.6200,
0.000000,-0.0883,-0.1765,0.0000,4.6400,
0.000000,-0.0838,-0.1676,0.0000,4.6600,
0.000000,-0.0793,-0.1586,0.0000,4.6800,
0.000000,-0.0749,-0.1497,0.0000,4.7000,
0.000000,-0.0704,-0.1408,0.0000,4.7200,
0.000000,-0.0659,-0.1318,0.0000,4.7400,
0.000000,-0.0614,-0.1229,0.0000,4.7600,
0.000000,-0.0570,-0.1139,0.0000,4.7800,
0.000000,-0.0525,-0.1050,0.0000,4.8000,
0.000000,-0.0480,-0.0961,0.0000,4.8200,
0.000000,-0.0436,-0.0871,0.0000,4.8400,
0.000000,-0.0391,-0.0782,0.0000,4.8600,
0.000000,-0.0346,-0.0693,0.0000,4.8800,
0.000000,-0.0302,-0.0603,0.0000,4.9000,
0.000000,-0.0257,-0.0514,0.0000,4.9200,
0.000000,-0.0212,-0.0424,0.0000,4.9400,
0.000000,-0.0168,-0.0335,0.0000,4.9600,
0.000000,-0.0123,-0.0246,0.0000,4.9800,
0.000000,-0.0078,-0.0156,0.0000,5.0000,
0.000000,-0.0033,-0.0067,0.0000,5.0200,
0.000000,0.0011,0.0022,0.0000,5.0400,
0.000000,0.0056,0.0112,0.0000,5.0600,
0.000000,0.0101,0.0201,0.0000,5.0800,
0.000000,0.0145,0.0291,0.0000,5.1000,
0.000000,0.0190,0.0380,0.0000,5.1200,
0.000000,0.0235,0.0469,0.0000,5.1400,
0.000000,0.0279,0.0559,0.0000,5.1600,
0.000000,0.0324,0.0648,0.0000,5.1800,
0.000000,0.0369,0.0737,0.0000,5.2000,
0.000000,0.0413,0.0827,0.0000,5.2200,
0.000000,0.0458,0.0916,0.0000,5.2400,
0.000000,0.0503,0.1006,0.0000,5.2600,
0.000000,0.0548,0.1095,0.0000,5.2800,
0.000000,0.0592,0.1184,0.0000,5.3000,
0.000000,0.0637,0.1274,0.0000,5.3200,
0.000000,0.0682,0.1363,0.0000,5.3400,
0.000000,0.0726,0.1452,0.0000,5.3600,
0.000000,0.0771,0.1542,0.0000,5.3800,
0.000000,0.0816,0.1631,0.0000,5.4000,
0.000000,0.0860,0.1721,0.0000,5.4200,
0.000000,0.0905,0.1810,0.0000,5.4400,
0.000000,0.0950,0.1899,0.0000,5.4600,
0.000000,0.0994,0.1989,0.0000,5.4800,
0.000000,0.1039,0.2078,0.0000,5.5000,
0.000000,0.1084,0.2167,0.0000,5.5200,
0.000000,0.1128,0.2257,0.0000,5.5400,
0.000000,0.1173,0.2346,0.0000,5.5600,
0.000000,0.1218,0.2436,0.0000,5.5800,
0.000000,0.1263,0.2525,0.0000,5.6000,
0.000000,0.1307,0.2614,0.0000,5.6200,
0.000000,0.1352,0.2704,0.0000,5.6400,
0.000000,0.1397,0.2793,0.0000,5.6600,
0.000000,0.1441,0.2883,0.0000,5.6800,
0.000000,0.1486,0.2972,0.0000,5.7000,
0.000000,0.1531,0.3061,0.0000,5.7200,
0.000000,0.1575,0.3151,0.0000,5.7400,
0.000000,0.1620,0.3240,0.0000,5.7600,
0.000000,0.1665,0.3329,0.0000,5.7800,
0.000000,0.1709,0.3419,0.0000,5.8000,
0.000000,0.1754,0.3508,0.0000,5.8200,
0.000000,0.1799,0.3598,0.0000,5.8400,
0.000000,0.1843,0.3687,0.0000,5.8600,
0.000000,0.1888,0.3776,0.0000,5.8800,
0.000000,0.1933,0.3866,0.0000,5.9000,
0.000000,0.1978,0.3955,0.0000,5.9200,
0.000000,0.2022,0.4045,0.0000,5.9400,
0.000000,0.2067,0.4134,0.0000,5.9600,
0.000000,0.2112,0.4223,0.0000,5.9800,
0.000000,0.2156,0.4313,0.0000,6.0000,
0.000000,0.2134,0.4268,0.0000,6.0200,
0.000000,0.2111,0.4222,0.0000,6.0400,
0.000000,0.2089,0.4177,0.0000,6.0600,
0.000000,0.2066,0.4132,0.0000,6.0800,
0.000000,0.2043,0.4087,0.0000,6.1000,
0.000000,0.2021,0.4042,0.0000,6.1200,
0.000000,0.1998,0.3997,0.0000,6.1400,
0.000000,0.1976,0.3951,0.0000,6.1600,
0.000000,0.1953,0.3906,0.0000,6.1800,
